Table 1,,Highest Medical Priority Funded ,,FY 2021,,,,Beyon MPI,,FY 2021,FY 2021,,,FY 2020,,,,Beyon MPI,,,FY 2020,
Federal PRC Programs,,,,Area,Federal Unit,Tribal Unit,,Federal Unit,Tribal Unit,, 519 ,3C Deferrals,,Area,Federal Unit,Tribal Unit,,Federal Unit,Tribal Unit,,440 ,3C Deferrals
,,,,Alaska,0,0,,0,0,," 53,236 ",3B Deferrals,,Alaska,0,0,,0,0,,"56,010 ",3B Deferrals
(A),,(B),,Albuquerque,8,0,,,,," 28,692 ",3A Deferrals,,Albuquerque,8,0,,7,1,,"71,613 ",3A Deferrals
1,,,,Bemidji,3,1,,,,," 82,447 ",Total,,Bemidji,3,1,,3,0,,"128,063 ",
2,,,,Billing,7,0,,,,,,,,Billing,7,0,,6,0,,    ,
3,,,,California,0,29,,,,,,,,California,0,29,,0,13,,,
4,,,,Great Plains,10,1,,,,,,,,Great Plains,10,1,,7,1,,,
5,,,,Nashville,6,0,,,,,,,,Nashville,6,0,,7,0,,,
6,,,,Navajo,5,5,,,,,,,,Navajo,5,5,,3,0,,,
7,,,,Oklahoma,7,16,,,,,,,,Oklahoma,7,16,,7,4,,,
8,,,,Phoenix,13,7,,,,,,,,Phoenix,13,7,,13,10,,,
9,,,,Portland,4,0,,,,,,,,Portland,4,0,,4,1,,,
10,,,,Tucson,0,0,,,,,,,,Tucson,0,0,,0,1,,,
11,,,,Total,63,59,,,,,,,,Total,63,59,,57,31,90%,,
12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Albuquerque Area Federal,(b)(6) ,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,,Federal,8,Tribal,0,FY 2020,,,,,FY 2021,,,,,,,,
1,(b)(6) ,ALL PRIORITIES,Federal,,,,,,(b)(6) ,"1,2,3,4-A,B,C,D & 5A",,,,(b)(6) ,ALL PRIORITIES,,,,,,,
2,(b)(6) ,"1,2,3  A,B,C,D",Federal,,,,,,(b)(6) ,"1,2,3 - A,B,C,D",,,,(b)(6) ,"1,2,3  A,B,C,D",,,,,,,
3,(b)(6) ,ALL PRIORITIES,Federal,,,,,,(b)(6) ,"1A-1D,2A-2D,3A-3D,4A-4D",,,,(b)(6) ,ALL PRIORITIES,,,,,,,
4,(b)(6) ,ALL PRIORITIES,Federal,,,,,,(b)(6) ,                 4D,,,,(b)(6) ,ALL PRIORITIES,,,,,,,
5,(b)(6) ,ALL PRIORITIES,Federal,,,,,,(b)(6) ,"I - III; A, B, C, D",,,,(b)(6) ,ALL PRIORITIES,,,,,,,
6,(b)(6) ,A-D I-III,Federal,,,,,,(b)(6) ,A-D I-III,,,,(b)(6) ,A-D I-III,,,,,,,
7,(b)(6) ,"P1, P2, P3, A, B, C, D",Federal,,,,,,(b)(6) ,"1,2,3-A,B,C,D",,,,(b)(6) ,"P1, P2, P3, A, B, C, D",,,,,,,
8,(b)(6) ," 1,2,3,4",Federal,,,,,,(b)(6) ,"Priority 1,2,3,4",,,,(b)(6) ," 1,2,3,4",,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,     ,,,,,,,,,,,,,,,,,,,,,
,Bemidji Area Federal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,,Federal,3,Tribal,1,FY 2020,,,,,,,,,,,,,
1,(b)(6) ,"I,II,III,IV",Federal,,1,,,,(b)(6) ,"I,II,III,IV",,,,,,,,,,,,
2,(b)(6) ,"I,II,III",Federal,,1,,,,(b)(6) ,"I,II,III",,,,,,,,,,,,
3,(b)(6) ,"I,II,III,IV",Federal,,1,,,,(b)(6) ,"I,II,III,IV",,,,,,,,,,,,
4,(b)(6) ,III,Tribal,,,,1,,(b)(6) ,"I,II,III,IV",,,,,,,,,,,,
5,,,,,,,   ,,(b)(6) ,III,,,,,,,,,,,,
6,,,,,,,,,(b)(6) ,II,,,,,,,,,,,,
7,,,,,,,,,(b)(6) ,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Billing Area Federal (No Tribal),,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,,Federal,7,Tribal,0,,,,,,,,,,,,,,
1,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
2,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
3,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
4,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
5,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
6,(b)(6) ,IV,Federal,,1,,,,,,,,,,,,,,,,,
7,(b)(6) ,III,Federal,,1,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,California's Area Tribal (No Federal),,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,0,Tribal,29,,,,,,,,,,,,,,,
1,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
2,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
3,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
4,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
5,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
6,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
7,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
8,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
9,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
10,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
11,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
12,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
13,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
14,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
15,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
16,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
17,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
18,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
19,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
20,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
21,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
22,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
23,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
24,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
25,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
26,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
27,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
28,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
29,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Great Plains Area Federal and Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
Great Plains Area Indian Health Service,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,10,Tribal,1,,FY 2019,FY 2020,,,,,,,,,,,,
1,(b)(6) ,IV,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
2,(b)(6) ,V,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
3,(b)(6) ,III,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
4,(b)(6) ,IV,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
5,(b)(6) ,IV,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
6,(b)(6) ,II ,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
7,(b)(6) ,III,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
8,(b)(6) ,"II, IV (case by case basis)",Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
9,(b)(6) ,V,Federal,,,,,,(b)(6) ,(b)(6) ,Federal,,,,,,,,,,,
10,(b)(6) ,III,Federal,,,,,,(b)(6) ,(b)(6) ,Tribal,,,,,,,,,,,
11,(b)(6) ,P4,Tribal,,,,,,,(b)(6) ,Tribal,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Nashville Area Federal,,,,,,,,,,,,,,,,,,,,,
,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,(B),,Federal,6,Tribal,0,,FY 2019,,FY 2020,,,,,,,,,,,
1,(b)(6) ,4,Federal,,,,,,(b)(6) ,Medical Priority 4,(b)(6) ,3,,,,,,,,,,
2,(b)(6) ,4,Federal,,,,,,(b)(6) ,Medical Priority 4,(b)(6) ,4,,,,,,,,,,
3,(b)(6) ,4,Federal,,,,,,(b)(6) ,Medical Priority 4,(b)(6) ,4,,,,,,,,,,
4,(b)(6) ,4,Federal,,,,,,(b)(6) ,"Medical Priorities 1-4, Defer 5 Quarterly",(b)(6) ,4,,,,,,,,,,
5,(b)(6) ,4,Federal,,,,,,(b)(6) ,Medical Priority 4,(b)(6) ,4,,,,,,,,,,
6,(b)(6) ,4,Federal,,,,,,(b)(6) ,Medical Priority 4,(b)(6) ,4,,,,,,,,,,
7,,,,,,,,,(b)(6) ,Medical Priority 4,,,,,,,,,,,,
8,,,,,,,,,(b)(6) ,Tribal,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Navajo Area Federal and Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,5,Tribal,5,,,,,,,,,,,,,,,
1,(b)(6) ,I - IV,Federal,,,,,,,,,,,,,,,,,,,
2,(b)(6) ,1A - 1N,Federal,,,,,,,,,,,,,,,,,,,
3,(b)(6) ,I - IV,Federal,,,,,,,,,,,,,,,,,,,
4,(b)(6) ,I - IV,Federal,,,,,,,,,,,,,,,,,,,
5,(b)(6) ,I - IV,Federal,,,,,,,,,,,,,,,,,,,
6,(b)(6) ,IA - IN,Title I,,,,,,,,,,,,,,,,,,,
7,(b)(6) ,IA - IN,Title I,,,,,,,,,,,,,,,,,,,
8,(b)(6) ,,Title V,,,,,,,,,,,,,,,,,,,
9,(b)(6) ,I - IV,Title V,,,,,,,,,,,,,,,,,,,
10,(b)(6) ,IA - IN,Title V,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Oklahoma Area Federal and Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,7,Tribal,16,,,,,,,,,,,,,,,
1,(b)(6) ,I,Federal,,,,,,,,,,,,,,,,,,,
2,(b)(6) ,IV,Federal,,,,,,,,,,,,,,,,,,,
3,(b)(6) ,III,Federal,,,,,,,,,,,,,,,,,,,
4,(b)(6) ,I,Federal,,,,,,,,,,,,,,,,,,,
5,(b)(6) ,III,Federal,,,,,,,,,,,,,,,,,,,
6,(b)(6) ,II,Federal,,,,,,,,,,,,,,,,,,,
7,(b)(6) ,I,Federal,,,,,,,,,,,,,,,,,,,
9,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
10,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
11,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
12,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
13,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
14,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
15,(b)(6) ,I,Tribal,,,,,,,,,,,,,,,,,,,
16,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
17,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
18,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
19,(b)(6) ,,Tribal,,,,,,,,,,,,,,,,,,,
20,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
21,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
22,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
23,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
24,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Phoenix Area Federal and Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,13,Tribal,7,,,,,,,,,,,,,,,
1,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
2,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
3,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
4,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
5,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
6,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
7,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
8,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
9,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
10,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
11,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
12,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
13,(b)(6) ,"Levels I, II, III, IV",Federal,,,,,,,,,,,,,,,,,,,
14,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
15,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
16,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
17,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
18,(b)(6) ,III,Tribal,,,,,,,,,,,,,,,,,,,
19,(b)(6) ,IV,Tribal,,,,,,,,,,,,,,,,,,,
20,(b)(6) ,II,Tribal,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Porltand Area Federal and Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,4,Tribal,0,,FY 2020,,,,,,,,,,,,,
1,(b)(6) ,I - IV,Federal,,,,,,(b)(6) ,4,Federal,,,,,,,,,,,
2,(b)(6) ,I,Federal,,,,,,(b)(6) ,4,Federal,,,,,,,,,,,
3,(b)(6) ,III,Federal,,,,,,(b)(6) ,3,Federal,,,,,,,,,,,
4,(b)(6) ,IV,Federal,,,,,,(b)(6) ,4,Federal,,,,,,,,,,,
5,,,,,,,,,(b)(6) ,III,Tribal,,,,,,,,,,,
6,,,,,,,,,(b)(6) ,"I,II,III,IV",Tribal,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tucson Area Tribal,,,,,,,,,,,,,,,,,,,,,
Table 1,,Highest Medical Priority Funded ,,,,,,,,,,,,,,,,,,,,
Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(A),,(B),,Federal,0,Tribal,0,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,Tribal,Federal,63,Tribal,59,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
